Name,Subject
Timothy W. Lant,Arts and Humanities (miscellaneous)
Timothy W. Lant,"Biochemistry, Genetics and Molecular Biology (all)"
Timothy W. Lant,Civil and Structural Engineering
Timothy W. Lant,Fluid Flow and Transfer Processes
Timothy W. Lant,"Public Health, Environmental and Occupational Health"
Timothy W. Lant,Health Information Management
Timothy W. Lant,Waste Management and Disposal
Timothy W. Lant,Information Systems and Management
Timothy W. Lant,Development
Timothy W. Lant,Developmental and Educational Psychology
Timothy W. Lant,Urban Studies
Timothy W. Lant,Social Sciences (all)
Timothy W. Lant,Water Science and Technology
Timothy W. Lant,Software
Timothy W. Lant,Modeling and Simulation
Timothy W. Lant,"Health, Toxicology and Mutagenesis"
Timothy W. Lant,Information Systems
Timothy W. Lant,"Geography, Planning and Development"
Timothy W. Lant,Computer Science (all)
Esma Senturk Gel,Strategy and Management
Esma Senturk Gel,Computer Science (all)
Esma Senturk Gel,"Statistics, Probability and Uncertainty"
Esma Senturk Gel,Information Systems
Esma Senturk Gel,Software
Esma Senturk Gel,Business and International Management
Esma Senturk Gel,Modeling and Simulation
Esma Senturk Gel,Statistics and Probability
Esma Senturk Gel,Medicine (all)
Esma Senturk Gel,Industrial Relations
Esma Senturk Gel,Chemical Health and Safety
Esma Senturk Gel,Genetics
Esma Senturk Gel,Management of Technology and Innovation
Esma Senturk Gel,Molecular Medicine
Esma Senturk Gel,Engineering (all)
Esma Senturk Gel,"Business, Management and Accounting (all)"
Esma Senturk Gel,Computer Graphics and Computer-Aided Design
Esma Senturk Gel,Economics and Econometrics
Esma Senturk Gel,Applied Mathematics
Esma Senturk Gel,Electrical and Electronic Engineering
Esma Senturk Gel,"Safety, Risk, Reliability and Quality"
Esma Senturk Gel,Pharmacology
Esma Senturk Gel,Agricultural and Biological Sciences (all)
Esma Senturk Gel,Control and Optimization
Esma Senturk Gel,Computer Science Applications
Esma Senturk Gel,Computational Theory and Mathematics
Esma Senturk Gel,Industrial and Manufacturing Engineering
Esma Senturk Gel,Management Science and Operations Research
Esma Senturk Gel,Energy (all)
Esma Senturk Gel,"Biochemistry, Genetics and Molecular Biology (all)"
Esma Senturk Gel,Information Systems and Management
Esma Senturk Gel,Finance
Esma Senturk Gel,Energy Engineering and Power Technology
Esma Senturk Gel,Theoretical Computer Science
Esma Senturk Gel,Transportation
Sean Dudley,Geotechnical Engineering and Engineering Geology
Sean Dudley,Mechanics of Materials
Sean Dudley,Economic Geology
Sean Dudley,Condensed Matter Physics
Sean Dudley,Metals and Alloys
Philip E. Tarrant,Water Science and Technology
Philip E. Tarrant,Computer Science Applications
Philip E. Tarrant,Computer Science (miscellaneous)
Philip E. Tarrant,Earth and Planetary Sciences (all)
Philip E. Tarrant,Fluid Flow and Transfer Processes
David C. White,Organic Chemistry
David C. White,Agricultural and Biological Sciences (miscellaneous)
David C. White,History
David C. White,Toxicology
David C. White,Geology
David C. White,Mathematics (all)
David C. White,Earth and Planetary Sciences (all)
David C. White,Psychology (all)
David C. White,Medicine (miscellaneous)
David C. White,Environmental Engineering
David C. White,Multidisciplinary
David C. White,Histology
David C. White,Materials Science (all)
David C. White,Civil and Structural Engineering
David C. White,Applied Microbiology and Biotechnology
David C. White,Horticulture
David C. White,Water Science and Technology
David C. White,Earth and Planetary Sciences (miscellaneous)
David C. White,Statistics and Probability
David C. White,Instrumentation
David C. White,Agronomy and Crop Science
David C. White,Pathology and Forensic Medicine
David C. White,Waste Management and Disposal
David C. White,Geophysics
David C. White,Physical and Theoretical Chemistry
David C. White,Immunology
David C. White,Neuroscience (miscellaneous)
David C. White,Environmental Chemistry
David C. White,Metals and Alloys
David C. White,Endocrinology
David C. White,Pharmacology
David C. White,Biomedical Engineering
David C. White,Chemistry (all)
David C. White,"Health, Toxicology and Mutagenesis"
David C. White,"Safety, Risk, Reliability and Quality"
David C. White,Biophysics
David C. White,Biochemistry
David C. White,Physiology (medical)
David C. White,Archeology
David C. White,Biomaterials
David C. White,Pharmacology (medical)
David C. White,"Atomic and Molecular Physics, and Optics"
David C. White,Immunology and Microbiology (all)
David C. White,Physics and Astronomy (all)
David C. White,Chemical Engineering (all)
David C. White,Ocean Engineering
David C. White,Plant Science
David C. White,Materials Science (miscellaneous)
David C. White,Genetics
David C. White,Spectroscopy
David C. White,"Renewable Energy, Sustainability and the Environment"
David C. White,Energy (all)
David C. White,Molecular Biology
David C. White,Infectious Diseases
David C. White,Ceramics and Composites
David C. White,Rheumatology
David C. White,Drug Discovery
David C. White,Electrical and Electronic Engineering
David C. White,Aquatic Science
David C. White,Oceanography
David C. White,Ecological Modeling
David C. White,"Public Health, Environmental and Occupational Health"
David C. White,Soil Science
David C. White,Orthopedics and Sports Medicine
David C. White,Applied Mathematics
David C. White,Environmental Science (all)
David C. White,Cell Biology
David C. White,Physiology
David C. White,"Physical Therapy, Sports Therapy and Rehabilitation"
David C. White,"Ecology, Evolution, Behavior and Systematics"
David C. White,Microbiology
David C. White,Anesthesiology and Pain Medicine
David C. White,Engineering (all)
David C. White,Earth-Surface Processes
David C. White,Analytical Chemistry
David C. White,Pollution
David C. White,Condensed Matter Physics
David C. White,Materials Chemistry
David C. White,Energy Engineering and Power Technology
David C. White,Food Science
David C. White,Automotive Engineering
David C. White,Dentistry (all)
David C. White,"Biochemistry, Genetics and Molecular Biology (all)"
David C. White,Medicine (all)
David C. White,Biotechnology
David C. White,Ecology
David C. White,Bioengineering
David C. White,"Statistics, Probability and Uncertainty"
David C. White,History and Philosophy of Science
David C. White,"Electronic, Optical and Magnetic Materials"
David C. White,Developmental Biology
David C. White,Surgery
David C. White,Agricultural and Biological Sciences (all)
David C. White,Geochemistry and Petrology
David C. White,Industrial and Manufacturing Engineering
David C. White,Computational Mathematics
David C. White,Microbiology (medical)
David C. White,Forestry
Michael Simeone,Earth and Planetary Sciences (miscellaneous)
Michael Simeone,Industrial Relations
Michael Simeone,Library and Information Sciences
Michael Simeone,History and Philosophy of Science
Michael Simeone,Human-Computer Interaction
Michael Simeone,Philosophy
Michael Simeone,Software
Michael Simeone,Computer Science (miscellaneous)
Michael Simeone,Literature and Literary Theory
Michael Simeone,History
Michael Simeone,Law
Michael Simeone,Electrical and Electronic Engineering
Michael Simeone,Health (social science)
Michael Simeone,Computer Vision and Pattern Recognition
Michael Simeone,Computer Networks and Communications
Heather Joan Ross,Pharmacology (medical)
Heather Joan Ross,Physiology
Heather Joan Ross,Medical and Surgical Nursing
Heather Joan Ross,Psychiatric Mental Health
Heather Joan Ross,Critical Care and Intensive Care Medicine
Heather Joan Ross,Transplantation
Heather Joan Ross,Health Professions  (all)
Heather Joan Ross,Neuroscience (all)
Heather Joan Ross,Anesthesiology and Pain Medicine
Heather Joan Ross,Immunology and Allergy
Heather Joan Ross,Radiological and Ultrasound Technology
Heather Joan Ross,Biophysics
Heather Joan Ross,Oncology
Heather Joan Ross,Rehabilitation
Heather Joan Ross,Philosophy
Heather Joan Ross,Obstetrics and Gynecology
Heather Joan Ross,"Endocrinology, Diabetes and Metabolism"
Heather Joan Ross,"Public Health, Environmental and Occupational Health"
Heather Joan Ross,Histology
Heather Joan Ross,Nursing (all)
Heather Joan Ross,Clinical Biochemistry
Heather Joan Ross,Oncology (nursing)
Heather Joan Ross,Health Policy
Heather Joan Ross,Immunology
Heather Joan Ross,Immunology and Microbiology (all)
Heather Joan Ross,Microbiology (medical)
Heather Joan Ross,Agricultural and Biological Sciences (all)
Heather Joan Ross,Psychiatry and Mental Health
Heather Joan Ross,Multidisciplinary
Heather Joan Ross,Social Sciences (all)
Heather Joan Ross,Gerontology
Heather Joan Ross,Biomedical Engineering
Heather Joan Ross,Neurology (clinical)
Heather Joan Ross,Emergency Medicine
Heather Joan Ross,Medicine (miscellaneous)
Heather Joan Ross,Chemical Engineering (all)
Heather Joan Ross,Health Informatics
Heather Joan Ross,Occupational Therapy
Heather Joan Ross,Computer Networks and Communications
Heather Joan Ross,Infectious Diseases
Heather Joan Ross,Nephrology
Heather Joan Ross,Health (social science)
Heather Joan Ross,Physiology (medical)
Heather Joan Ross,Applied Psychology
Heather Joan Ross,Hematology
Heather Joan Ross,Pharmacology
Heather Joan Ross,"Biochemistry, Genetics and Molecular Biology (all)"
Heather Joan Ross,Geriatrics and Gerontology
Heather Joan Ross,Cell Biology
Heather Joan Ross,Internal Medicine
Heather Joan Ross,Neurology
Heather Joan Ross,Pathology and Forensic Medicine
Heather Joan Ross,Molecular Medicine
Heather Joan Ross,Cardiology and Cardiovascular Medicine
Heather Joan Ross,Medicine (all)
Heather Joan Ross,Surgery
Heather Joan Ross,Pulmonary and Respiratory Medicine
Heather Joan Ross,Biochemistry (medical)
Heather Joan Ross,"Radiology, Nuclear Medicine and Imaging"
Heather Joan Ross,Advanced and Specialized Nursing
Heather Joan Ross,Family Practice
Megan L. Jehn,Internal Medicine
Megan L. Jehn,Information Systems
Megan L. Jehn,Developmental and Educational Psychology
Megan L. Jehn,Information Systems and Management
Megan L. Jehn,"Endocrinology, Diabetes and Metabolism"
Megan L. Jehn,Health Policy
Megan L. Jehn,Parasitology
Megan L. Jehn,Software
Megan L. Jehn,Modeling and Simulation
Megan L. Jehn,Food Science
Megan L. Jehn,Medicine (all)
Megan L. Jehn,"Public Health, Environmental and Occupational Health"
Megan L. Jehn,Business and International Management
Megan L. Jehn,Computer Science (all)
Megan L. Jehn,Clinical Psychology
Megan L. Jehn,Social Sciences (all)
Megan L. Jehn,Management of Technology and Innovation
Megan L. Jehn,Orthopedics and Sports Medicine
Megan L. Jehn,Cardiology and Cardiovascular Medicine
Megan L. Jehn,Nursing (miscellaneous)
Megan L. Jehn,Applied Mathematics
Megan L. Jehn,Virology
Megan L. Jehn,Infectious Diseases
Megan L. Jehn,Health Informatics
Megan L. Jehn,Psychology (all)
Megan L. Jehn,Nutrition and Dietetics
Megan L. Jehn,Management Science and Operations Research
Megan L. Jehn,Medicine (miscellaneous)
Megan L. Jehn,Epidemiology
Megan L. Jehn,Management Information Systems
Megan L. Jehn,Health Information Management
Megan L. Jehn,Industrial and Manufacturing Engineering
Megan L. Jehn,Computer Science Applications
Megan L. Jehn,Computational Mathematics
Megan L. Jehn,Health (social science)
Megan L. Jehn,Advanced and Specialized Nursing
Megan L. Jehn,Arts and Humanities (miscellaneous)
Megan L. Jehn,Endocrinology
Megan L. Jehn,Decision Sciences (all)
Megan L. Jehn,Applied Psychology
Patrícia Solís,Psychology (all)
Patrícia Solís,Biological Psychiatry
Patrícia Solís,Linguistics and Language
Patrícia Solís,Physiology (medical)
Patrícia Solís,Sensory Systems
Patrícia Solís,"Radiology, Nuclear Medicine and Imaging"
Patrícia Solís,Neurology
Patrícia Solís,Language and Linguistics
Patrícia Solís,Behavioral Neuroscience
Patrícia Solís,Experimental and Cognitive Psychology
Patrícia Solís,"Pediatrics, Perinatology and Child Health"
Patrícia Solís,Internal Medicine
Patrícia Solís,Neuropsychology and Physiological Psychology
Patrícia Solís,Neurology (clinical)
Patrícia Solís,Neuroscience (all)
Patrícia Solís,Psychiatry and Mental Health
Patrícia Solís,Cellular and Molecular Neuroscience
Patrícia Solís,Speech and Hearing
Patrícia Solís,Cognitive Neuroscience
Elizabeth A. Wentz,Environmental Chemistry
Elizabeth A. Wentz,Transportation
Elizabeth A. Wentz,Computer Networks and Communications
Elizabeth A. Wentz,Forestry
Elizabeth A. Wentz,Computers in Earth Sciences
Elizabeth A. Wentz,Demography
Elizabeth A. Wentz,Signal Processing
Elizabeth A. Wentz,Environmental Science (all)
Elizabeth A. Wentz,"Safety, Risk, Reliability and Quality"
Elizabeth A. Wentz,Aquatic Science
Elizabeth A. Wentz,Instrumentation
Elizabeth A. Wentz,Information Systems and Management
Elizabeth A. Wentz,Development
Elizabeth A. Wentz,Pollution
Elizabeth A. Wentz,Library and Information Sciences
Elizabeth A. Wentz,Management Science and Operations Research
Elizabeth A. Wentz,Urban Studies
Elizabeth A. Wentz,Soil Science
Elizabeth A. Wentz,"Management, Monitoring, Policy and Law"
Elizabeth A. Wentz,Computer Science Applications
Elizabeth A. Wentz,Environmental Science (miscellaneous)
Elizabeth A. Wentz,"Ecology, Evolution, Behavior and Systematics"
Elizabeth A. Wentz,Waste Management and Disposal
Elizabeth A. Wentz,"Geography, Planning and Development"
Elizabeth A. Wentz,Economics and Econometrics
Elizabeth A. Wentz,Engineering (all)
Elizabeth A. Wentz,Earth and Planetary Sciences (all)
Elizabeth A. Wentz,"Business, Management and Accounting (all)"
Elizabeth A. Wentz,Civil and Structural Engineering
Elizabeth A. Wentz,Nature and Landscape Conservation
Elizabeth A. Wentz,"Statistics, Probability and Uncertainty"
Elizabeth A. Wentz,Building and Construction
Elizabeth A. Wentz,Information Systems
Elizabeth A. Wentz,Water Science and Technology
Elizabeth A. Wentz,Ecological Modeling
Elizabeth A. Wentz,Earth-Surface Processes
Elizabeth A. Wentz,Strategy and Management
Elizabeth A. Wentz,Environmental Engineering
Elizabeth A. Wentz,Earth and Planetary Sciences (miscellaneous)
Elizabeth A. Wentz,Ecology
Elizabeth A. Wentz,Computer Graphics and Computer-Aided Design
Elizabeth A. Wentz,Management of Technology and Innovation
Elizabeth A. Wentz,Atmospheric Science
Elizabeth A. Wentz,"Renewable Energy, Sustainability and the Environment"
Elizabeth A. Wentz,Social Sciences (all)
Elizabeth A. Wentz,Computer Science (all)
Elizabeth A. Wentz,"Tourism, Leisure and Hospitality Management"
Elizabeth A. Wentz,Modeling and Simulation
Elizabeth A. Wentz,Education
Elizabeth A. Wentz,"Public Health, Environmental and Occupational Health"
Sarah Louise Rowland-Jones,Health (social science)
Sarah Louise Rowland-Jones,"Ecology, Evolution, Behavior and Systematics"
Sarah Louise Rowland-Jones,Oncology
Sarah Louise Rowland-Jones,Molecular Medicine
Sarah Louise Rowland-Jones,"Pediatrics, Perinatology and Child Health"
Sarah Louise Rowland-Jones,Epidemiology
Sarah Louise Rowland-Jones,Infectious Diseases
Sarah Louise Rowland-Jones,Dermatology
Sarah Louise Rowland-Jones,"Pharmacology, Toxicology and Pharmaceutics (all)"
Sarah Louise Rowland-Jones,Clinical Biochemistry
Sarah Louise Rowland-Jones,Medicine (miscellaneous)
Sarah Louise Rowland-Jones,Microbiology (medical)
Sarah Louise Rowland-Jones,Veterinary (all)
Sarah Louise Rowland-Jones,Insect Science
Sarah Louise Rowland-Jones,Biotechnology
Sarah Louise Rowland-Jones,Immunology and Allergy
Sarah Louise Rowland-Jones,Applied Microbiology and Biotechnology
Sarah Louise Rowland-Jones,Hepatology
Sarah Louise Rowland-Jones,Biochemistry
Sarah Louise Rowland-Jones,Pharmacology
Sarah Louise Rowland-Jones,Immunology
Sarah Louise Rowland-Jones,Virology
Sarah Louise Rowland-Jones,Genetics (clinical)
Sarah Louise Rowland-Jones,Pharmacology (medical)
Sarah Louise Rowland-Jones,Genetics
Sarah Louise Rowland-Jones,Immunology and Microbiology (all)
Sarah Louise Rowland-Jones,Agricultural and Biological Sciences (all)
Sarah Louise Rowland-Jones,"Public Health, Environmental and Occupational Health"
Sarah Louise Rowland-Jones,Molecular Biology
Sarah Louise Rowland-Jones,Parasitology
Sarah Louise Rowland-Jones,Developmental and Educational Psychology
Sarah Louise Rowland-Jones,Cell Biology
Sarah Louise Rowland-Jones,Neuroscience (all)
Sarah Louise Rowland-Jones,"Biochemistry, Genetics and Molecular Biology (all)"
Sarah Louise Rowland-Jones,Pathology and Forensic Medicine
Sarah Louise Rowland-Jones,Obstetrics and Gynecology
Sarah Louise Rowland-Jones,Agricultural and Biological Sciences (miscellaneous)
Sarah Louise Rowland-Jones,Multidisciplinary
Sarah Louise Rowland-Jones,Cancer Research
Sarah Louise Rowland-Jones,Hematology
Sarah Louise Rowland-Jones,Microbiology
Sarah Louise Rowland-Jones,Medicine (all)
Michelle Villegas-Gold,Health Professions  (all)
Dawn L. Feldman,Genetics
Dawn L. Feldman,Multidisciplinary
Darcy M. Richardson,Cardiology and Cardiovascular Medicine
Darcy M. Richardson,Internal Medicine
Darcy M. Richardson,Physiology
Faye E. Farmer,Insect Science
